Brand,Model,Model_Type,Seats,Colors,Fuel_Type,Transmission,On_Road_Price,Location,Availability
BMW,i5,Sedan,5 Seater,9 color,Electric,Automatic,₹1.35 Cr,Ahmedabad,Unavailable
BMW,5 Series,Sedan,5 Seater,2 color,Petrol,Automatic,₹78.29 L,Ahmedabad,Unavailable
BYD,Atto 3,SUV,5 Seater,4 color,Electric,Automatic,₹27.36 L,Ahmedabad,Unavailable
BYD,Seal,Sedan,5 Seater,4 color,Electric,Automatic,₹50.00 L,Ahmedabad,Unavailable
Audi,A8 L,Sedan,4 Seater,8 color,Petrol,Automatic,₹1.72 Cr,Ahmedabad,Unavailable
Jeep,Wrangler,SUV,5 Seater,5 color,Petrol,Automatic,₹72.69 L,Ahmedabad,Unavailable
Ferrari,296 GTB,Coupe,2 Seater,8 color,Petrol,Automatic,₹6.09 Cr,Ahmedabad,Unavailable
Ferrari,296 GTS,Convertible,2 Seater,8 color,Petrol,Automatic,₹7.04 Cr,Ahmedabad,Unavailable
Ferrari,F8 Tributo,Coupe,2 Seater,15 color,Petrol,Automatic,₹4.54 Cr,Ahmedabad,Unavailable
Ferrari,Portofino,Convertible,4 Seater,14 color,Petrol,Automatic,₹3.95 Cr,Ahmedabad,Unavailable
Hyundai,Alcazar,SUV,7 Seater,8 color,Petrol,Manual,₹17.08 L,Ahmedabad,Unavailable
Audi,e-tron Sportback,SUV,5 Seater,9 color,Electric,Automatic,₹1.27 Cr,Ahmedabad,Unavailable
BMW,Z4,Convertible,2 Seater,7 color,Petrol,Automatic,₹1.05 Cr,Ahmedabad,Unavailable
Audi,Q3,SUV,5 Seater,5 color,Petrol,Automatic,₹63.12 L,Ahmedabad,Unavailable
Audi,Q3 Sportback,SUV,5 Seater,4 color,Petrol,Automatic,₹64.58 L,Ahmedabad,Unavailable
Audi,Q5,SUV,5 Seater,4 color,Petrol,Automatic,₹83.60 L,Ahmedabad,Unavailable
Mercedes-Benz,AMG GLC43 Coupe,Coupe,5 Seater,5 color,Petrol,Automatic,₹1.25 Cr,Ahmedabad,Unavailable
Land Rover,Defender,SUV,5 Seater,6 color,Petrol,Automatic,₹2.36 Cr,Ahmedabad,Discontinued
Audi,A6,Sedan,5 Seater,5 color,Petrol,Automatic,₹70.33 L,Ahmedabad,Unavailable
MG,Windsor EV,SUV,5 Seater,4 color,Electric,Automatic,₹17.59 L,Ahmedabad,Unavailable
Audi,e-tron,SUV,5 Seater,8 color,Electric,Automatic,₹1.31 Cr,Ahmedabad,Unavailable
Audi,A4,Sedan,5 Seater,5 color,Petrol,Automatic,₹53.35 L,Ahmedabad,Unavailable
Land Rover,Range Rover,SUV,7 Seater,8 color,Petrol,Automatic,₹2.72 Cr,Ahmedabad,Discontinued
Audi,Q8 e-tron,SUV,5 Seater,9 color,Electric,Automatic,₹1.20 Cr,Ahmedabad,Unavailable
BMW,7 Series,Sedan,5 Seater,6 color,Petrol,Automatic,₹2.08 Cr,Ahmedabad,Unavailable
Land Rover,Range Rover Sport,SUV,5 Seater,8 color,Diesel,Automatic,₹1.64 Cr,Ahmedabad,Unavailable
Land Rover,Range Rover Velar,SUV,5 Seater,5 color,Petrol,Automatic,₹94.53 L,Ahmedabad,Unavailable
Lotus,Eletre,SUV,4 Seater,5 color,Electric,Automatic,₹3.08 Cr,Ahmedabad,Unavailable
BMW,X1,SUV,5 Seater,5 color,Diesel,Automatic,₹61.04 L,Ahmedabad,Unavailable
Mercedes-Benz,E-Class,Sedan,5 Seater,4 color,Petrol,Automatic,₹81.65 L,Ahmedabad,Discontinued
Mercedes-Benz,A-Class Limousine,Sedan,5 Seater,5 color,Diesel,Automatic,₹53.30 L,Ahmedabad,Unavailable
McLaren,750S,Coupe,2 Seater,8 color,Petrol,Automatic,₹6.66 Cr,Ahmedabad,Unavailable
Mercedes-Benz,AMG A45 S,Hatchback,5 Seater,7 color,Petrol,Automatic,₹1.01 Cr,Ahmedabad,Unavailable
Mercedes-Benz,AMG C 43,Sedan,5 Seater,7 color,Petrol,Automatic,₹1.06 Cr,Ahmedabad,Unavailable
Mercedes-Benz,EQB,SUV,7 Seater,6 color,Electric,Automatic,₹84.70 L,Ahmedabad,Unavailable
Mercedes-Benz,GLC,SUV,5 Seater,6 color,Diesel,Automatic,₹84.09 L,Ahmedabad,Unavailable
Mercedes-Benz,GLS,SUV,7 Seater,5 color,Diesel,Automatic,₹1.50 Cr,Ahmedabad,Unavailable
Porsche,911,Coupe,4 Seater,2 color,Petrol,Automatic,₹4.55 Cr,Ahmedabad,Unavailable
Porsche,Cayenne,SUV,4 Seater,7 color,Petrol,Automatic,₹1.61 Cr,Ahmedabad,Unavailable
Porsche,Cayenne Coupe,Coupe,4 Seater,7 color,Petrol,Automatic,₹1.68 Cr,Ahmedabad,Unavailable
Porsche,Macan,SUV,5 Seater,9 color,Petrol,Automatic,₹1.09 Cr,Ahmedabad,Unavailable
Porsche,Taycan,Sedan,5 Seater,12 color,Electric,Automatic,₹2.16 Cr,Ahmedabad,Unavailable
Porsche,Taycan Cross Turismo,Sedan,5 Seater,12 color,Electric,Automatic,₹2.41 Cr,Ahmedabad,Unavailable
Rolls-Royce,Cullinan,SUV,5 Seater,10 color,Petrol,Automatic,₹8.34 Cr,Ahmedabad,Unavailable
Rolls-Royce,Phantom,SUV,5 Seater,9 color,Petrol,Automatic,₹11.39 Cr,Ahmedabad,Unavailable
Rolls-Royce,Spectre,SUV,4 Seater,15 color,Electric,Automatic,₹8.02 Cr,Ahmedabad,Unavailable
Volvo,C40 Recharge,SUV,5 Seater,8 color,Electric,Automatic,₹68.90 L,Ahmedabad,Unavailable
Mercedes-Benz,AMG GLA35,SUV,5 Seater,6 color,Petrol,Automatic,₹70.96 L,Ahmedabad,Unavailable
Maserati,GranTurismo,Coupe,5 Seater,6 color,Petrol,Automatic,₹3.07 Cr,Ahmedabad,Unavailable
Land Rover,Discovery,SUV,7 Seater,8 color,Petrol,Automatic,₹1.13 Cr,Ahmedabad,Discontinued
Tata,Tiago,Hatchback,5 Seater,6 color,Petrol,Automatic,₹8.61 L,Ahmedabad,Unavailable
Honda,Amaze,Sedan,5 Seater,6 color,Petrol,Automatic,₹12.46 L,Ahmedabad,Unavailable
Mercedes-Benz,G-Class Electric,SUV,5 Seater,5 color,Electric,Automatic,₹3.39 Cr,Ahmedabad,Unavailable
Toyota,Hilux,Pick-Up,5 Seater,1 color,Diesel,Automatic,₹43.10 L,Ahmedabad,Unavailable
Aston Martin,DB12,Coupe,4 Seater,18 color,Petrol,Automatic,₹5.18 Cr,Ahmedabad,Unavailable
Tata,Nexon,SUV,5 Seater,2 color,Petrol,Manual,₹9.89 L,Bangalore,Available
Tata,Punch,SUV,5 Seater,2 color,Petrol,Manual,₹7.72 L,Bangalore,Available
Maruti Suzuki,Swift,Hatchback,5 Seater,4 color,Petrol,Manual,₹8.10 L,Bangalore,Available
Hyundai,Grand i10 Nios,Hatchback,5 Seater,3 color,Petrol,Manual,₹7.42 L,Bangalore,Available
Hyundai,Aura,Sedan,5 Seater,1 color,CNG,Manual,₹9.30 L,Bangalore,Available
Hyundai,Venue,SUV,5 Seater,4 color,Petrol,Manual,₹9.77 L,Bangalore,Available
Toyota,Glanza,Hatchback,5 Seater,5 color,Petrol,Manual,₹8.45 L,Bangalore,Available
Hyundai,Creta,SUV,5 Seater,11 color,Petrol,Manual,₹14.05 L,Bangalore,Available
Maruti Suzuki,Dzire,Sedan,5 Seater,7 color,Petrol,Manual,₹9.78 L,Bangalore,Available
Honda,City,Sedan,5 Seater,6 color,Petrol,Automatic,₹20.40 L,Bangalore,Available
Hyundai,i20 N Line,Hatchback,5 Seater,7 color,Petrol,Automatic,₹14.10 L,Bangalore,Available
Maruti Suzuki,Brezza,SUV,5 Seater,5 color,Petrol,Manual,₹10.67 L,Bangalore,Available
Maruti Suzuki,S-Presso,SUV,5 Seater,7 color,Petrol,Manual,₹6.89 L,Bangalore,Available
Mahindra,Scorpio-N,SUV,7 Seater,3 color,Petrol,Manual,₹17.77 L,Bangalore,Available
Mahindra,Bolero,SUV,7 Seater,1 color,Diesel,Manual,₹12.19 L,Bangalore,Available
Maruti Suzuki,XL6,SUV,6 Seater,6 color,Petrol,Manual,₹14.91 L,Bangalore,Available
Maruti Suzuki,Ertiga (2022-2025),MPV/MUV,7 Seater,6 color,Petrol,Manual,₹11.01 L,Bangalore,Available
Hyundai,Venue N-Line,SUV,5 Seater,5 color,Petrol,Automatic,₹16.27 L,Bangalore,Available
Maruti Suzuki,Grand Vitara,SUV,5 Seater,1 color,Petrol,Manual,₹14.40 L,Bangalore,Available
Toyota,Urban Cruiser Hyryder,SUV,5 Seater,7 color,Petrol,Manual,₹14.20 L,Bangalore,Available
Hyundai,Tucson,SUV,5 Seater,5 color,Petrol,Automatic,₹37.19 L,Bangalore,Available
Skoda,Kushaq,SUV,5 Seater,6 color,Petrol,Manual,₹20.52 L,Bangalore,Available
Kia,Seltos,SUV,5 Seater,7 color,Petrol,Manual,₹14.02 L,Bangalore,Available
Kia,Sonet,SUV,5 Seater,7 color,Petrol,Manual,₹10.25 L,Bangalore,Available
Hyundai,Exter,SUV,5 Seater,1 color,Petrol,Manual,₹7.70 L,Bangalore,Available
Maruti Suzuki,Fronx,SUV,5 Seater,6 color,Petrol,Manual,₹9.31 L,Bangalore,Available
Maruti Suzuki,Invicto,SUV,7 Seater,4 color,Petrol,Automatic,₹32.36 L,Bangalore,Available
MG,Astor,SUV,5 Seater,2 color,Petrol,Manual,₹14.46 L,Bangalore,Available
MG,Gloster,SUV,7 Seater,4 color,Diesel,Automatic,₹51.29 L,Bangalore,Available
Toyota,Innova Hycross,SUV,7 Seater,7 color,Petrol,Automatic,₹25.07 L,Bangalore,Available
Hyundai,Verna,Sedan,5 Seater,7 color,Petrol,Manual,₹14.01 L,Bangalore,Available
Tata,Harrier,SUV,5 Seater,2 color,Diesel,Manual,₹23.60 L,Bangalore,Available
Mahindra,Scorpio Classic,SUV,7 Seater,3 color,Diesel,Manual,₹17.47 L,Bangalore,Available
Mahindra,XUV400,SUV,5 Seater,10 color,Electric,Automatic,₹18.62 L,Bangalore,Available
MG,Hector,SUV,5 Seater,4 color,Petrol,Manual,₹23.14 L,Bangalore,Available
MG,Hector Plus,SUV,7 Seater,4 color,Petrol,Manual,₹24.12 L,Bangalore,Available
Toyota,Innova Crysta,SUV,8 Seater,5 color,Diesel,Manual,₹25.05 L,Bangalore,Available
Toyota,Rumion,SUV,7 Seater,5 color,Petrol,Manual,₹13.34 L,Bangalore,Available
Honda,Elevate,SUV,5 Seater,7 color,Petrol,Manual,₹15.94 L,Bangalore,Available
Volkswagen,Taigun,SUV,5 Seater,6 color,Petrol,Manual,₹18.07 L,Bangalore,Available
Volkswagen,Virtus,Sedan,5 Seater,7 color,Petrol,Manual,₹17.05 L,Bangalore,Available
Kia,Carens,SUV,7 Seater,7 color,Diesel,Manual,₹16.53 L,Bangalore,Available
Mahindra,XUV700,SUV,7 Seater,5 color,Petrol,Manual,₹18.37 L,Bangalore,Available
Skoda,Slavia,Sedan,5 Seater,2 color,Petrol,Automatic,₹20.70 L,Bangalore,Available
Maruti Suzuki,Wagon R,Hatchback,5 Seater,3 color,Petrol,Manual,₹7.24 L,Bangalore,Available
Maruti Suzuki,Celerio,Hatchback,5 Seater,6 color,Petrol,Manual,₹7.06 L,Bangalore,Available
Mahindra,XUV 3XO,SUV,5 Seater,7 color,Petrol,Manual,₹11.62 L,Bangalore,Available
Maruti Suzuki,Alto K10,Hatchback,5 Seater,6 color,Petrol,Manual,₹6.21 L,Bangalore,Available
Toyota,Urban Cruiser Taisor,SUV,5 Seater,4 color,Petrol,Manual,₹9.42 L,Bangalore,Available
MG,ZS EV,SUV,5 Seater,3 color,Electric,Automatic,₹19.29 L,Bangalore,Available
Maruti Suzuki,Baleno (2022-2025),Hatchback,5 Seater,6 color,Petrol,Manual,₹8.36 L,Bangalore,Available
Hyundai,Creta N Line,SUV,5 Seater,6 color,Petrol,Automatic,₹23.23 L,Bangalore,Available
Maruti Suzuki,Ignis,Hatchback,5 Seater,9 color,Petrol,Automatic,₹9.20 L,Bangalore,Available
Maruti Suzuki,Jimny,SUV,4 Seater,5 color,Petrol,Manual,₹16.08 L,Bangalore,Available
Tata,Punch EV,SUV,5 Seater,1 color,Electric,Automatic,₹10.91 L,Bangalore,Available
MG,Comet EV,Hatchback,4 Seater,1 color,Electric,Automatic,₹8.22 L,Bangalore,Available
Maruti Suzuki,Eeco,Minivan/Van,5 Seater,5 color,Petrol,Manual,₹7.14 L,Bangalore,Available
Hyundai,i20,Hatchback,5 Seater,6 color,Petrol,Manual,₹9.59 L,Bangalore,Available
Toyota,Fortuner Legender,SUV,7 Seater,1 color,Diesel,Automatic,₹55.91 L,Bangalore,Available
Mahindra,Thar Roxx,SUV,5 Seater,3 color,Diesel,Manual,₹20.60 L,Bangalore,Available
Hyundai,Alcazar,SUV,7 Seater,9 color,Diesel,Manual,₹22.50 L,Bangalore,Available
Tata,Curvv,SUV,5 Seater,2 color,Petrol,Manual,₹12.32 L,Bangalore,Available
MG,Windsor EV,SUV,5 Seater,1 color,Electric,Automatic,₹15.05 L,Bangalore,Available
Toyota,Fortuner,SUV,7 Seater,7 color,Petrol,Automatic,₹45.34 L,Bangalore,Available
Mahindra,Thar,SUV,4 Seater,3 color,Diesel,Manual,₹14.48 L,Bangalore,Available
Tata,Safari,SUV,7 Seater,2 color,Diesel,Manual,₹22.73 L,Bangalore,Available
Mahindra,Bolero Neo,SUV,7 Seater,5 color,Diesel,Manual,₹12.15 L,Bangalore,Available
Nissan,Magnite,SUV,5 Seater,2 color,Petrol,Manual,₹7.49 L,Bangalore,Available
Tata,Curvv EV,SUV,5 Seater,4 color,Electric,Automatic,₹20.84 L,Bangalore,Available
Tata,Nexon EV,SUV,5 Seater,4 color,Electric,Automatic,₹15.26 L,Bangalore,Available
Maruti Suzuki,Baleno,Hatchback,5 Seater,7 color,Petrol,Manual,₹8.32 L,Bangalore,Available
Maruti Suzuki,Ertiga,MPV/MUV,7 Seater,7 color,Petrol,Manual,₹10.92 L,Bangalore,Available
Honda,Amaze,Sedan,5 Seater,6 color,Petrol,Manual,₹10.04 L,Bangalore,Available
Skoda,Kylaq,SUV,5 Seater,7 color,Petrol,Manual,₹11.95 L,Bangalore,Available
Tata,Harrier EV,SUV,5 Seater,2 color,Electric,Automatic,₹23.15 L,Bangalore,Available
Tata,Tiago,Hatchback,5 Seater,2 color,Petrol,Manual,₹6.26 L,Bangalore,Available
Kia,Carens Clavis,SUV,7 Seater,7 color,Petrol,Manual,₹15.60 L,Bangalore,Available
Tata,Altroz,Hatchback,5 Seater,5 color,Petrol,Manual,₹9.52 L,Bangalore,Available
Tata,Tiago EV,Hatchback,5 Seater,1 color,Electric,Automatic,₹8.66 L,Bangalore,Available
Kia,Syros,SUV,5 Seater,8 color,Petrol,Manual,₹11.41 L,Bangalore,Available
Tata,Tiago NRG,Hatchback,5 Seater,4 color,Petrol,Manual,₹9.09 L,Bangalore,Available
Tata,Tigor,Sedan,5 Seater,2 color,Petrol,Automatic,₹9.14 L,Bangalore,Available
Mahindra,XEV 9e,SUV,5 Seater,7 color,Electric,Automatic,₹24.08 L,Bangalore,Available
Hyundai,Creta Electric,SUV,5 Seater,5 color,Electric,Automatic,₹19.40 L,Bangalore,Available
Mahindra,BE 6,SUV,5 Seater,8 color,Electric,Automatic,₹20.94 L,Bangalore,Available
