Brand,Model,Model_Type,Seats,Colors,Fuel_Type,Transmission,On_Road_Price,Location,Availability
Hyundai,Creta,SUV,5,14,Petrol,Manual,1390000,Chennai,Available
Renault,Triber,MPV/MUV,7,2,Petrol,Manual,739000,Chennai,Available
Maruti Suzuki,XL6,SUV,6,6,Petrol,Manual,1439000,Chennai,Available
Mahindra,XUV700,SUV,7,5,Diesel,Manual,2247000,Chennai,Available
Maruti Suzuki,Eeco,Minivan/Van,5,5,Petrol,Manual,723000,Chennai,Available
Hyundai,Tucson,SUV,5,5,Petrol,Automatic,3704999,Chennai,Available
Mahindra,Scorpio-N,SUV,7,7,Diesel,Manual,2729000,Chennai,Available
Mahindra,Bolero,SUV,7,2,Diesel,Manual,1186000,Chennai,Available
Hyundai,Exter,SUV,5,1,Petrol,Manual,750000,Chennai,Available
Maruti Suzuki,Fronx,SUV,5,6,Petrol,Manual,894000,Chennai,Available
Maruti Suzuki,Invicto,SUV,7,4,Petrol,Automatic,3174000,Chennai,Available
Hyundai,Verna,Sedan,5,7,Petrol,Manual,1545000,Chennai,Available
Tata,Harrier,SUV,5,2,Diesel,Automatic,2419000,Chennai,Available
Mahindra,Scorpio Classic,SUV,7,5,Diesel,Manual,2245000,Chennai,Available
Mahindra,XUV400,SUV,5,10,Electric,Automatic,1814999,Chennai,Available
Kia,Seltos,SUV,5,7,Petrol,Manual,1388000,Chennai,Available
Kia,Sonet,SUV,5,7,Petrol,Manual,1000000,Chennai,Available
Kia,Carens,SUV,7,7,Petrol,Manual,1412000,Chennai,Available
MG,Comet EV,Hatchback,4,3,Electric,Automatic,961999,Chennai,Available
MG,Hector,SUV,5,3,Petrol,Automatic,2237000,Chennai,Available
MG,Hector Plus,SUV,6,9,Petrol,Manual,2730000,Chennai,Available
Citroen,C3,SUV,5,4,Petrol,Manual,775000,Chennai,Available
Citroen,E-C3,SUV,5,4,Electric,Automatic,1391000,Chennai,Available
Citroen,C5 Aircross,SUV,5,7,Diesel,Automatic,4457000,Chennai,Available
MG,ZS EV,SUV,5,3,Electric,Automatic,1939000,Chennai,Available
Maruti Suzuki,Jimny,SUV,4,5,Petrol,Manual,1566000,Chennai,Available
Maruti Suzuki,Ertiga,MPV/MUV,7,7,Petrol,Manual,1076000,Chennai,Available
Tata,Harrier EV,SUV,5,2,Electric,Automatic,2288000,Chennai,Available
Maruti Suzuki,S-Presso,SUV,5,7,Petrol,Manual,656000,Chennai,Available
Tata,Safari,SUV,7,2,Diesel,Manual,2419000,Chennai,Available
Hyundai,i20,Hatchback,5,6,Petrol,Manual,935000,Chennai,Available
Kia,Carens Clavis,SUV,6,7,Petrol,Manual,1423000,Chennai,Available
Tata,Altroz,Hatchback,5,5,Petrol,Manual,828999,Chennai,Available
Skoda,Kushaq,SUV,5,6,Petrol,Automatic,1676000,Chennai,Available
Hyundai,Creta N Line,SUV,5,7,Petrol,Manual,2445000,Chennai,Available
Maruti Suzuki,Baleno,Hatchback,5,6,Petrol,Manual,797000,Chennai,Available
Tata,Punch EV,SUV,5,4,Electric,Automatic,1274000,Chennai,Available
Kia,Syros,SUV,5,8,Petrol,Manual,1116000,Chennai,Available
